Traffic_Congestion,Accident_Reports,Weather_Conditions,Potholes,Road_Closures,Traffic_Patterns,Hospital_Proximity,Road_Type,Emergency_Response_Time
4.2472407130841745,3,5.963616827687854,1,1,8.727395573152865,4.5488549631705775,City Road,10.74024345546132
7.704285838459497,2,5.090791278786524,5,2,3.90859388621978,6.5743127806825346,Highway,18.54001947860838
6.391963650868431,4,5.600995459358077,8,1,5.864497136882122,12.360577044480522,Local Road,15.740937869766569
5.59195090518222,0,3.815717554922913,3,2,6.610840403672683,8.65951638234314,City Road,21.35783679522954
2.9361118426546193,4,9.115127329030754,2,0,6.49041988452712,5.729779244322479,City Road,14.58472745254275
2.9359671220172157,0,5.604957253838063,7,0,5.408770674534259,4.994219995316991,Local Road,18.894740514511483
2.3485016730091965,1,9.0596755236488,9,2,5.028506456197569,6.992753718124549,Local Road,18.065252826326507
7.197056874649611,0,2.8455478392501927,8,1,3.7609441353025126,14.279092474628506,Highway,10.070686382833618
5.606690070459253,3,9.906202168001052,4,2,5.35045470337367,7.1163205510802925,City Road,11.085840973964656
6.248435466776273,2,5.546184699548946,8,1,3.975964890632911,14.857488911455624,Local Road,14.355523187290308
2.1235069657748147,1,2.3826465631528437,1,0,7.406194058953311,8.822765469184274,City Road,23.23352621531148
7.819459112971966,0,2.3041747858996393,2,1,4.25298561296754,5.14996701948181,Highway,12.20522432349668
6.99465584480253,4,7.969658059854709,6,2,3.351391831707203,13.693681101522113,Local Road,20.663414956908124
3.274034664069657,1,7.272284273629446,6,2,6.314196826903406,8.524264477617923,Highway,24.60049849228431
3.0909498032426037,1,8.4170444650207,5,0,6.57137839631641,11.516056122054293,City Road,21.858513290367327
3.100427059120603,0,2.8429402716224477,5,1,8.231478367683033,14.804538998509821,Highway,13.64418042530566
3.8254534577572263,1,2.284566936284387,1,1,6.461889674506091,3.602104203839688,Highway,23.625478906196225
5.148538589793427,4,6.068634315580628,9,1,5.072885122340674,4.160334717450805,City Road,11.396607347625851
4.591670111852695,1,5.100761851862156,5,0,7.818071289157923,11.645480897553075,Highway,17.02212912806104
3.7473748411882513,4,5.695575493367646,3,1,6.241673359124526,6.381900039545664,City Road,23.313128615896204
5.671117368334277,0,9.932707270962192,2,2,3.4756817077871505,5.211616763401189,Local Road,19.618985638853047
2.836963163912251,2,9.765999661365361,1,1,6.39510336187948,3.472342557836754,City Road,16.204668470915482
3.752867891211309,1,9.538523117385543,0,0,8.448111272529975,3.2621605438344217,City Road,14.392193001057532
4.19817105976215,2,8.27074141414139,4,1,5.377875752989324,12.29382723743749,Local Road,15.62649107977525
4.736419905302215,4,4.838730882055123,1,1,4.7779548113988,4.6132011284346,City Road,17.634126715139296
6.711055768358081,1,5.297047442102173,1,2,3.8608167421081205,8.61264739165381,Local Road,14.785658948092111
3.1980426929501586,3,6.396928349751396,6,1,3.9086731316121437,10.270761782153796,Local Road,24.534517931234497
5.085406630481669,2,8.644275651238718,7,2,5.596628906050913,8.140221606826156,City Road,23.996164795992176
5.554487413172255,1,2.549702660146142,9,2,6.574078944969177,3.3252798280347973,Highway,23.06007202321481
2.278702476319986,2,5.394375087079105,7,0,3.4836924310176105,12.402018031054906,Highway,16.327447532839802
5.645269111408631,1,2.6609413076741495,3,2,8.637411534150994,3.126158694499842,Local Road,20.36952654002843
3.0231447421237494,0,6.117260692588093,0,2,7.530801704671175,12.142678732529808,Highway,23.54243960553947
2.390309557911677,2,9.191206592049884,6,0,6.519743509701976,13.719653925457472,Highway,22.756442315183918
7.69331322352,3,8.259879396511504,0,2,7.970632025633945,8.194079052686067,City Road,16.214905210303115
7.793792198447356,3,3.8227393403448797,3,0,3.4811205408726797,9.426509677173579,Local Road,11.68579073983391
6.850384088698767,4,9.80792679679034,7,1,5.8610332663987466,8.723800711411846,Local Road,11.134455457518243
3.8276826150402243,1,7.338803184371427,1,0,6.7805587611699805,7.670503423481266,City Road,18.65596067838554
2.586032684038303,2,2.0834215951792245,5,2,7.971917436709735,13.649094424444323,Highway,19.639419028163974
6.105398159072942,4,4.043307877481756,5,0,7.7008173602956065,13.727202128039886,Local Road,22.747639068955362
4.640914962437607,2,4.085706399359332,8,2,4.662415498280398,7.029796375698414,Highway,14.387725305115467
2.732229409068673,1,2.5540344502868795,4,1,8.645281017355225,10.380837048176376,Local Road,12.512057358250637
4.971061460667621,3,9.678612144607431,9,0,3.7460750485852223,14.12289074575037,Local Road,15.685087497672992
2.2063311266913104,0,5.82604235660739,3,1,8.250801711726913,14.544701987296218,Local Road,15.303626854484126
7.455922412472693,3,9.166516778975055,4,2,8.82564149762771,9.107508485064571,Local Road,11.987034310267822
3.5526798896001015,4,4.577724027557027,9,2,4.062921139335753,8.433897663411921,Highway,20.084239787697282
5.975133706123891,0,3.001868563462617,4,1,7.332396385222712,6.344331791142309,Highway,17.630379110940638
3.8702664565364655,4,5.794688879249711,7,0,3.241713112667991,14.50646247828492,Highway,20.816841341721492
5.120408127066865,1,2.9116530777145373,9,0,5.43253695083493,4.713771653674408,Highway,15.290366802546021
5.280261676059678,0,5.888124023820319,7,2,6.097699795186044,9.9579549125727,City Road,14.885533173665534
3.109126733153162,4,9.362377449755261,1,1,6.483871355457804,6.3906032102236665,Local Road,17.088637795657835
7.817507766587351,1,6.166145134673702,6,1,8.615623489491357,6.348099484173559,Local Road,23.161110180927203
6.650796940166687,3,6.931997815160668,7,0,7.033504123765168,7.859623048514262,Local Road,10.604219601009705
7.6369936493851345,1,3.2531074957904664,5,0,5.887667707315422,14.985515229787854,City Road,22.07249225944708
7.368964102565893,2,2.349885007039756,4,0,7.858050217595336,3.659595682077865,Highway,15.534814189866347
5.587399872866511,1,2.8864636974384563,8,1,8.703196925726454,9.942501818442377,Local Road,22.819285386827165
7.531245410138701,1,6.788252605474925,2,0,3.132396892093745,3.990865896423326,Highway,22.033045132537847
2.5309550123115168,2,2.7600935919384373,9,0,8.895127633536232,4.854249959886228,Highway,15.231418710941327
3.175897174514871,4,5.007943119530491,3,2,3.5167928343820822,8.274755301274784,City Road,20.40814802982424
2.2713637334632284,4,6.400735523665248,8,0,7.886320675612568,9.125521576157295,City Road,12.394491351601602
3.951981984579586,1,5.109222389038776,5,0,4.682008515308475,6.1055089003742875,Highway,23.444223282456818
4.332063738136892,2,3.309470411722412,7,1,3.7930779465232307,6.797485570492994,Local Road,16.06736596677864
3.6280941906433757,2,4.190330460112852,6,1,5.639133838283009,4.043604243071197,Local Road,16.834384230328002
6.972425054911576,3,9.426540262788617,1,2,6.863739476685681,6.638637406131006,City Road,20.586385765554773
